112,Justin Diehl,2023-2024,18,de GER,Köln,de Bundesliga,7,168,1.9,1,6,0,0,0,0,0,0,0,0,FWMF,d82a310a
113,Eric Dier,2023-2024,29,eng ENG,Bayern Munich,de Bundesliga,15,1166,13.0,13,2,3,0,0,0,0,0,0,0,DF,ac861941
114,Florian Dietz,2023-2024,24,de GER,Köln,de Bundesliga,5,70,0.8,0,5,5,0,0,0,0,0,0,0,FWMF,8779ddf8
115,Junior Dina Ebimbe,2023-2024,22,fr FRA,Eint Frankfurt,de Bundesliga,31,1956,21.7,25,6,0,5,3,8,5,0,0,0,MFDF,95bb6ddc
116,Eren Dinkçi,2023-2024,21,de GER,Heidenheim,de Bundesliga,33,2650,29.4,33,0,0,10,5,15,10,0,0,0,FWMF,4ccd8957
117,Ritsu Doan,2023-2024,25,jp JPN,Freiburg,de Bundesliga,30,2246,25.0,26,4,0,7,2,9,7,0,0,0,DFMF,d01bbb6f
118,Danilho Doekhi,2023-2024,25,nl NED,Union Berlin,de Bundesliga,24,2160,24.0,24,0,3,2,0,2,2,0,0,0,DF,f67c9d29
119,Niklas Dorsch,2023-2024,25,de GER,Augsburg,de Bundesliga,21,1386,15.4,16,5,5,0,0,0,0,0,0,0,MF,7f73bdf4
120,Nikola Dovedan,2023-2024,29,at AUT,Heidenheim,de Bundesliga,21,656,7.3,5,16,9,3,1,4,3,0,0,0,MFFW,57d9f511
121,Damion Downs,2023-2024,19,us USA,Köln,de Bundesliga,10,181,2.0,0,10,2,2,0,2,2,0,0,0,FWMF,640134d6
122,Dion Drena Beljo,2023-2024,21,hr CRO,Augsburg,de Bundesliga,26,581,6.5,3,23,5,2,0,2,2,0,0,0,FWMF,9a2e3a23
123,Tim Drexler,2023-2024,18,de GER,Hoffenheim,de Bundesliga,8,573,6.4,6,2,3,0,0,0,0,0,0,0,DF,0911b4fc
124,Marvin Ducksch,2023-2024,29,de GER,Werder Bremen,de Bundesliga,33,2696,30.0,32,1,0,12,9,21,7,5,6,1,FW,638a4d71
125,Julien Duranville,2023-2024,17,be BEL,Dortmund,de Bundesliga,2,12,0.1,0,2,3,0,0,0,0,0,0,0,FWMF,b06a7ae9
126,Yannick Eduardo,2023-2024,17,,RB Leipzig,de Bundesliga,0,,,0,0,2,,,,,,,,FW,345047a0
127,Maximilian Eggestein,2023-2024,26,de GER,Freiburg,de Bundesliga,33,2914,32.4,33,0,0,1,2,3,1,0,0,0,MF,beb882a8
128,Lilian Egloff,2023-2024,20,de GER,Stuttgart,de Bundesliga,5,106,1.2,1,4,7,0,0,0,0,0,0,0,MFDF,2f7fec15
129,Vitus Eicher,2023-2024,32,de GER,Heidenheim,de Bundesliga,0,,,0,0,33,,,,,,,,GK,1f158264
130,Hugo Ekitike,2023-2024,21,fr FRA,Eint Frankfurt,de Bundesliga,14,716,8.0,7,7,0,4,2,6,4,0,0,0,FW,5b92d896
131,Agon Elezi,2023-2024,22,mk MKD,Bochum,de Bundesliga,0,,,0,0,5,,,,,,,,MF,c5af2e95
132,Elif Elmas,2023-2024,23,mk MKD,RB Leipzig,de Bundesliga,14,266,3.0,2,12,3,0,0,0,0,0,0,0,MFFW,cf007308
133,Nico Elvedi,2023-2024,26,ch SUI,Gladbach,de Bundesliga,30,2482,27.6,28,2,1,2,1,3,2,0,0,0,DF,48035304
134,Arne Engels,2023-2024,19,be BEL,Augsburg,de Bundesliga,32,1405,15.6,13,19,0,3,2,5,3,0,0,0,MFDF,554bcc91
135,Michael Esser,2023-2024,35,de GER,Bochum,de Bundesliga,0,,,0,0,1,,,,,,,,GK,83e0eeb4
136,Ohis Felix Uduokhai,2023-2024,25,de GER,Augsburg,de Bundesliga,33,2921,32.5,33,0,0,2,0,2,2,0,0,0,DF,677da306
137,Frank Feller,2023-2024,19,de GER,Heidenheim,de Bundesliga,0,,,0,0,1,,,,,,,,GK,ccd0981f
138,Edimilson Fernandes,2023-2024,27,ch SUI,Mainz 05,de Bundesliga,21,1290,14.3,13,8,5,0,2,2,0,0,0,0,DF,3bb625ac
139,Nacho Ferri,2023-2024,18,es ESP,Eint Frankfurt,de Bundesliga,8,74,0.8,0,8,4,1,0,1,1,0,0,0,FWMF,58468842
140,Max Finkgräfe,2023-2024,19,de GER,Köln,de Bundesliga,24,1756,19.5,18,6,2,1,0,1,1,0,0,0,DFFW,7ebd0896
141,Kilian Fischer,2023-2024,22,de GER,Wolfsburg,de Bundesliga,6,291,3.2,4,2,18,0,0,0,0,0,0,0,DFMF,79f7302a
142,Jonas Föhrenbach,2023-2024,27,de GER,Heidenheim,de Bundesliga,33,2788,31.0,32,1,0,0,0,0,0,0,0,0,DF,1b4be8eb
143,Emil Forsberg,2023-2024,31,se SWE,RB Leipzig,de Bundesliga,14,464,5.2,5,9,2,2,1,3,2,0,1,1,MFFW,9a2e0ccc
144,Philipp Förster,2023-2024,28,de GER,Bochum,de Bundesliga,13,385,4.3,3,10,12,0,0,0,0,0,0,0,MFFW,76fa965f
145,Timothy Fosu-Mensah,2023-2024,25,nl NED,Leverkusen,de Bundesliga,0,,,0,0,7,,,,,,,,DF,a9142dc3
146,Bartol Franjić,2023-2024,23,hr CRO,Darmstadt 98,de Bundesliga,20,1229,13.7,14,6,6,0,1,1,0,0,0,0,MF,697dc00a
147,Marco Friedl,2023-2024,25,at AUT,Werder Bremen,de Bundesliga,25,2197,24.4,25,0,0,1,0,1,1,0,0,0,DF,f86ad3f5
148,Marvin Friedrich,2023-2024,27,de GER,Gladbach,de Bundesliga,24,1566,17.4,17,7,9,0,0,0,0,0,0,0,DF,b77f44a4
149,Jeremie Frimpong,2023-2024,22,nl NED,Leverkusen,de Bundesliga,31,2251,25.0,27,4,2,9,7,16,9,0,0,0,DF,74f2e748
150,Chris Führich,2023-2024,25,de GER,Stuttgart,de Bundesliga,34,2567,28.5,33,1,0,8,7,15,8,0,1,1,FWMF,0cf778df
151,Shiō Fukuda,2023-2024,19,jp JPN,Gladbach,de Bundesliga,5,36,0.4,0,5,1,0,0,0,0,0,0,0,FWMF,056a8552
152,Taichi Fukui,2023-2024,19,jp JPN,Bayern Munich,de Bundesliga,0,,,0,0,1,,,,,,,,MF,8441729d
153,Niclas Füllkrug,2023-2024,30,de GER,2 Teams,de Bundesliga,31,2392,26.6,29,2,2,12,8,20,9,3,3,0,FW,4f16405e
154,Cristian Gamboa,2023-2024,33,cr CRC,Bochum,de Bundesliga,22,1187,13.2,12,10,10,0,1,1,0,0,0,0,DF,f27680d9
155,Dennis Geiger,2023-2024,25,de GER,Hoffenheim,de Bundesliga,3,64,0.7,0,3,1,0,0,0,0,0,0,0,MF,37f606f0
156,Yannick Gerhardt,2023-2024,29,de GER,Wolfsburg,de Bundesliga,25,1630,18.1,18,7,5,2,1,3,2,0,0,0,MFDF,62ab9184
157,Anwar El Ghazi,2023-2024,28,nl NED,Mainz 05,de Bundesliga,3,54,0.6,0,3,0,0,1,1,0,0,0,0,MFDF,ffa90327
158,Benedikt Gimber,2023-2024,26,de GER,Heidenheim,de Bundesliga,24,2021,22.5,24,0,5,1,1,2,1,0,0,0,DF,e5f76710
159,Matthias Ginter,2023-2024,29,de GER,Freiburg,de Bundesliga,23,1913,21.3,22,1,0,0,2,2,0,0,0,0,DF,f521b80a
160,Jamie Gittens,2023-2024,18,eng ENG,Dortmund,de Bundesliga,25,1058,11.8,14,11,9,1,4,5,1,0,0,0,FWMF,10745192
161,Klaus Gjasula,2023-2024,33,al ALB,Darmstadt 98,de Bundesliga,22,1363,15.1,17,5,5,0,0,0,0,0,0,0,DFMF,431c837b
162,Serge Gnabry,2023-2024,28,de GER,Bayern Munich,de Bundesliga,10,432,4.8,5,5,3,3,1,4,3,0,0,0,FWMF,88e357ef
163,Leon Goretzka,2023-2024,28,de GER,Bayern Munich,de Bundesliga,30,2241,24.9,25,5,0,6,7,13,6,0,0,0,MF,cc86b9a3
164,Robin Gosens,2023-2024,29,de GER,Union Berlin,de Bundesliga,30,2283,25.4,27,3,0,6,3,9,6,0,0,0,DFMF,2d970560
165,Mario Götze,2023-2024,31,de GER,Eint Frankfurt,de Bundesliga,30,2068,23.0,23,7,1,3,2,5,3,0,0,0,MF,9efa1d25
166,Jeffrey Gouweleeuw,2023-2024,32,nl NED,Augsburg,de Bundesliga,30,2593,28.8,29,1,0,1,0,1,1,0,0,0,DF,1025db8e
167,Jens Grahl,2023-2024,34,de GER,Eint Frankfurt,de Bundesliga,2,180,2.0,2,0,32,0,1,1,0,0,0,0,GK,f26dee6b
168,Ryan Gravenberch,2023-2024,21,nl NED,Bayern Munich,de Bundesliga,1,10,0.1,0,1,1,0,0,0,0,0,0,0,FW,b8e740fb
169,Michael Gregoritsch,2023-2024,29,at AUT,Freiburg,de Bundesliga,32,1682,18.7,19,13,0,7,4,11,7,0,0,0,FW,8e235926
170,Vincenzo Grifo,2023-2024,30,it ITA,Freiburg,de Bundesliga,32,2325,25.8,29,3,2,8,8,16,2,6,6,0,MFFW,54e4866f
