
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
553,Sam Proctor,2023-2024,16,eng ENG,Aston Villa,eng Premier League,0,,,0,0,3,,,,,,,,GK,b96cec48
554,Jarell Quansah,2023-2024,20,eng ENG,Liverpool,eng Premier League,17,1190,13.2,13,4,17,2,0,2,2,0,0,0,DF,4125cb98
555,Ionuț Radu,2023-2024,26,ro ROU,Bournemouth,eng Premier League,2,180,2.0,2,0,11,0,0,0,0,0,0,0,GK,67f649be
556,Hákon Rafn Valdimarsson,2023-2024,21,is ISL,Brentford,eng Premier League,0,,,0,0,4,,,,,,,,GK,57a34cf4
557,Jesurun Rak Sakyi,2023-2024,20,eng ENG,Crystal Palace,eng Premier League,6,136,1.5,0,6,7,0,0,0,0,0,0,0,MFFW,45685411
558,Aaron Ramsdale,2023-2024,25,eng ENG,Arsenal,eng Premier League,6,540,6.0,6,0,31,0,0,0,0,0,0,0,GK,466fb2c5
559,Aaron Ramsey,2023-2024,20,eng ENG,Burnley,eng Premier League,14,527,5.9,5,9,3,0,0,0,0,0,0,0,MFFW,e1618c22
560,Jacob Ramsey,2023-2024,22,eng ENG,Aston Villa,eng Premier League,16,853,9.5,8,8,0,1,1,2,1,0,0,0,FWMF,1544f145
561,Darren Randolph,2023-2024,36,ie IRL,Bournemouth,eng Premier League,0,,,0,0,1,,,,,,,,GK,6385ebfb
562,Marcus Rashford,2023-2024,25,eng ENG,Manchester Utd,eng Premier League,33,2271,25.2,26,7,0,7,2,9,5,2,2,0,FW,a1d5bd30
563,David Raya,2023-2024,27,es ESP,Arsenal,eng Premier League,32,2880,32.0,32,0,3,0,0,0,0,0,0,0,GK,98ea5115
564,Jadan Raymond,2023-2024,19,wls WAL,Crystal Palace,eng Premier League,0,,,0,0,2,,,,,,,,MF,9ad8d732
565,Tim Ream,2023-2024,35,us USA,Fulham,eng Premier League,18,1503,16.7,17,1,13,1,0,1,1,0,0,0,DF,28b40c9c
566,Nathan Redmond,2023-2024,29,eng ENG,Burnley,eng Premier League,12,142,1.6,0,12,3,0,0,0,0,0,0,0,FWMF,ab651565
567,Harrison Reed,2023-2024,28,eng ENG,Fulham,eng Premier League,27,1325,14.7,15,12,10,0,2,2,0,0,0,0,MF,803ae100
568,Sergio Reguilón,2023-2024,26,es ESP,2 Teams,eng Premier League,25,1530,17.0,18,7,5,0,4,4,0,0,0,0,DF,3353737a
569,Bobby Reid,2023-2024,30,jm JAM,Fulham,eng Premier League,33,1423,15.8,17,16,5,6,2,8,6,0,0,0,FW,0f7533cd
570,Gio Reyna,2023-2024,20,us USA,Nott'ham Forest,eng Premier League,9,235,2.6,2,7,4,0,1,1,0,0,0,0,FWMF,7fa4e703
571,Rodrigo Ribeiro,2023-2024,18,pt POR,Nott'ham Forest,eng Premier League,4,17,0.2,0,4,8,0,0,0,0,0,0,0,MFFW,484a3eae
572,Declan Rice,2023-2024,24,eng ENG,Arsenal,eng Premier League,38,3225,35.8,37,1,0,7,8,15,7,0,0,0,MF,1c7012b8
573,Chris Richards,2023-2024,23,us USA,Crystal Palace,eng Premier League,26,2094,23.3,23,3,9,1,1,2,1,0,0,0,DFMF,0a3d6d2b
574,Richarlison,2023-2024,26,br BRA,Tottenham,eng Premier League,28,1491,16.6,18,10,1,11,4,15,11,0,0,0,FW,fa031b34
575,Jaïro Riedewald,2023-2024,26,nl NED,Crystal Palace,eng Premier League,9,235,2.6,2,7,20,0,0,0,0,0,0,0,MFFW,7a1f2c08
576,Matt Ritchie,2023-2024,33,sct SCO,Newcastle Utd,eng Premier League,13,128,1.4,0,13,18,1,0,1,1,0,0,0,FWMF,71ef519e
577,Connor Roberts,2023-2024,27,wls WAL,Burnley,eng Premier League,14,823,9.1,8,6,5,0,1,1,0,0,0,0,DF,24fae784
578,Andrew Robertson,2023-2024,29,sct SCO,Liverpool,eng Premier League,23,1693,18.8,18,5,0,3,2,5,3,0,0,0,DF,2e4f5f03
579,Antonee Robinson,2023-2024,25,us USA,Fulham,eng Premier League,37,3265,36.3,37,0,0,0,6,6,0,0,0,0,DF,289601e6
580,Jack Robinson,2023-2024,29,eng ENG,Sheffield Utd,eng Premier League,34,2885,32.1,31,3,0,1,1,2,1,0,0,0,DF,7399c7a8
581,Marek Rodák,2023-2024,26,sk SVK,Fulham,eng Premier League,0,,0.0,0,0,37,0,0,0,0,0,0,0,GK,17acc2ed
582,Kaden Rodney,2023-2024,18,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,2,,,,,,,,DF,49375cdd
583,Rodri,2023-2024,27,es ESP,Manchester City,eng Premier League,34,2931,32.6,34,0,1,8,9,17,8,0,0,0,MF,6434f10d
584,Jay Rodriguez,2023-2024,34,eng ENG,Burnley,eng Premier League,21,822,9.1,7,14,14,2,1,3,1,1,1,0,FW,4ab53cdb
585,Mads Roerslev,2023-2024,24,dk DEN,Brentford,eng Premier League,34,1985,22.1,22,12,3,1,2,3,1,0,0,0,DF,57c94db2
586,Morgan Rogers,2023-2024,21,eng ENG,Aston Villa,eng Premier League,11,638,7.1,8,3,3,3,1,4,3,0,0,0,MFFW,2e5915f1
587,Cristian Romero,2023-2024,25,ar ARG,Tottenham,eng Premier League,33,2790,31.0,33,0,0,5,0,5,5,0,0,0,DF,a3d94a58
588,Joe Rothwell,2023-2024,28,eng ENG,Bournemouth,eng Premier League,11,386,4.3,3,8,8,0,0,0,0,0,0,0,MF,10a10454
589,Pelly Ruddock Mpanzu,2023-2024,30,cd COD,Luton Town,eng Premier League,27,1101,12.2,11,16,11,0,0,0,0,0,0,0,MF,a9b1c319
590,José Sá,2023-2024,30,pt POR,Wolves,eng Premier League,35,3037,33.7,35,0,0,0,1,1,0,0,0,0,GK,903b6e8b
591,Dominic Sadi,2023-2024,19,eng ENG,Bournemouth,eng Premier League,1,1,0.0,0,1,4,0,0,0,0,0,0,0,FW,54778940
592,Charles Sagoe Jr,2023-2024,19,eng ENG,Arsenal,eng Premier League,0,,,0,0,1,,,,,,,,FW,187ab096
593,Bukayo Saka,2023-2024,21,eng ENG,Arsenal,eng Premier League,35,2919,32.4,35,0,0,16,9,25,10,6,6,0,FW,bc7dc64d
594,Mohamed Salah,2023-2024,31,eg EGY,Liverpool,eng Premier League,32,2534,28.2,28,4,0,18,10,28,13,5,7,2,FW,e342ad68
595,William Saliba,2023-2024,22,fr FRA,Arsenal,eng Premier League,38,3420,38.0,38,0,0,2,1,3,2,0,0,0,DF,972aeb2a
596,Albert Sambi Lokonga,2023-2024,23,be BEL,Luton Town,eng Premier League,17,1303,14.5,16,1,0,1,3,4,1,0,0,0,MF,1b4f1169
597,Imari Samuels,2023-2024,20,eng ENG,Brighton,eng Premier League,0,,,0,0,1,,,,,,,,DF,8218e831
598,Ishé Samuels-Smith,2023-2024,17,eng ENG,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,DF,da95fde0
599,Davinson Sánchez,2023-2024,27,co COL,Tottenham,eng Premier League,1,77,0.9,0,1,3,0,0,0,0,0,0,0,DF,da7b447d
600,Robert Sánchez,2023-2024,25,es ESP,Chelsea,eng Premier League,16,1433,15.9,16,0,2,0,0,0,0,0,0,0,GK,6a713852

,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
601,Jadon Sancho,2023-2024,23,eng ENG,Manchester Utd,eng Premier League,3,79,0.9,0,3,0,0,0,0,0,0,0,0,FWMF,dbf053da
602,Ibrahim Sangaré,2023-2024,25,ci CIV,Nott'ham Forest,eng Premier League,17,1035,11.5,13,4,7,0,0,0,0,0,0,0,MF,bced0375
603,Yago Santiago,2023-2024,20,es ESP,Tottenham,eng Premier League,0,,,0,0,3,,,,,,,,FWMF,88b3215c
604,Andrey Santos,2023-2024,19,br BRA,2 Teams,eng Premier League,1,8,0.1,0,1,6,0,0,0,0,0,0,0,MF,dd745366
605,Pablo Sarabia,2023-2024,31,es ESP,Wolves,eng Premier League,30,1745,19.4,20,10,7,4,7,11,2,2,2,0,MFFW,9744ff80
606,Dovydas Sasnauskas,2023-2024,16,lt LTU,Sheffield Utd,eng Premier League,0,,,0,0,2,,,,,,,,DF,9463c7eb
607,Calum Scanlon,2023-2024,18,eng ENG,Liverpool,eng Premier League,0,,,0,0,2,,,,,,,,MF,37739c71
608,Oliver Scarles,2023-2024,17,eng ENG,West Ham,eng Premier League,0,,,0,0,5,,,,,,,,MF,242e5e6d
609,Dane Scarlett,2023-2024,19,eng ENG,Tottenham,eng Premier League,4,22,0.2,0,4,4,0,0,0,0,0,0,0,FW,21945a9e
610,Kevin Schade,2023-2024,21,de GER,Brentford,eng Premier League,11,333,3.7,3,8,0,2,1,3,2,0,0,0,FWMF,52afb588
611,Fabian Schär,2023-2024,31,ch SUI,Newcastle Utd,eng Premier League,36,3054,33.9,35,1,0,4,1,5,4,0,0,0,DF,c8aa95da
612,Jeffrey Schlupp,2023-2024,30,gh GHA,Crystal Palace,eng Premier League,29,1352,15.0,17,12,3,2,2,4,2,0,0,0,FWMF,3312f911
613,Alex Scott,2023-2024,19,eng ENG,Bournemouth,eng Premier League,23,1014,11.3,11,12,2,1,1,2,1,0,0,0,MF,104d0bb8
614,Kristian Sekularac,2023-2024,19,ch SUI,Fulham,eng Premier League,0,,,0,0,2,,,,,,,,MF,e20a28ce
615,Matz Sels,2023-2024,31,be BEL,Nott'ham Forest,eng Premier League,16,1440,16.0,16,0,0,0,0,0,0,0,0,0,GK,834b5c4c
616,Nélson Semedo,2023-2024,29,pt POR,Wolves,eng Premier League,36,3084,34.3,36,0,0,0,1,1,0,0,0,0,DFMF,d04b94db
617,Antoine Semenyo,2023-2024,23,gh GHA,Bournemouth,eng Premier League,33,2105,23.4,25,8,3,8,2,10,8,0,0,0,FW,efd2ec23
618,Marcos Senesi,2023-2024,26,ar ARG,Bournemouth,eng Premier League,31,2242,24.9,26,5,1,4,5,9,4,0,0,0,DF,35141f4c
619,Femi Seriki,2023-2024,21,eng ENG,Sheffield Utd,eng Premier League,0,,,0,0,12,,,,,,,,DF,e4e0deaa
620,Teddy Sharman,2023-2024,20,eng ENG,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,GK,7cd31238
621,Luke Shaw,2023-2024,28,eng ENG,Manchester Utd,eng Premier League,12,959,10.7,12,0,0,0,0,0,0,0,0,0,DF,9c94165b
622,James Shea,2023-2024,32,eng ENG,Luton Town,eng Premier League,1,15,0.2,0,1,13,0,0,0,0,0,0,0,GK,ee7c0a5e
623,Bernardo Silva,2023-2024,28,pt POR,Manchester City,eng Premier League,33,2578,28.6,29,4,2,6,9,15,6,0,0,0,MFFW,3eb22ec9
624,Fábio Silva,2023-2024,21,pt POR,Wolves,eng Premier League,8,264,2.9,3,5,9,0,0,0,0,0,0,0,FW,e7aa9d7c
625,Thiago Silva,2023-2024,38,br BRA,Chelsea,eng Premier League,31,2527,28.1,28,3,5,3,1,4,3,0,0,0,DF,86e7deaf
626,Luis Sinisterra,2023-2024,24,co COL,Bournemouth,eng Premier League,20,699,7.8,7,13,4,2,2,4,2,0,0,0,FWMF,8e16dd48
627,Oliver Skipp,2023-2024,22,eng ENG,Tottenham,eng Premier League,21,707,7.9,5,16,10,0,0,0,0,0,0,0,MFDF,6250083a
628,Adam Smith,2023-2024,32,eng ENG,Bournemouth,eng Premier League,28,2150,23.9,25,3,6,0,2,2,0,0,0,0,DF,20b104bc
629,Emile Smith Rowe,2023-2024,23,eng ENG,Arsenal,eng Premier League,13,353,3.9,3,10,18,0,1,1,0,0,0,0,MF,17695062
630,Cédric Soares,2023-2024,31,pt POR,Arsenal,eng Premier League,3,62,0.7,0,3,15,0,0,0,0,0,0,0,DF,839c14e1
631,Dominic Solanke,2023-2024,25,eng ENG,Bournemouth,eng Premier League,38,3325,36.9,37,1,0,19,3,22,17,2,3,1,FW,e77dc3b2
632,Manor Solomon,2023-2024,24,il ISR,Tottenham,eng Premier League,5,199,2.2,2,3,2,0,2,2,0,0,0,0,FW,886f9aac
633,Tomáš Souček,2023-2024,28,cz CZE,West Ham,eng Premier League,37,2870,31.9,34,3,0,7,2,9,7,0,0,0,MF,6613c819
634,Vinicius Souza,2023-2024,24,br BRA,Sheffield Utd,eng Premier League,36,2668,29.6,29,7,2,1,0,1,1,0,0,0,MF,6a8a7af8
635,Jay Stansfield,2023-2024,20,eng ENG,Fulham,eng Premier League,0,,,0,0,1,,,,,,,,FWMF,b2626673
636,Jason Steele,2023-2024,32,eng ENG,Brighton,eng Premier League,17,1530,17.0,17,0,21,0,0,0,0,0,0,0,GK,28300a16
637,Raheem Sterling,2023-2024,28,eng ENG,Chelsea,eng Premier League,31,1978,22.0,22,9,3,8,4,12,8,0,0,0,FWMF,b400bde0
638,John Stones,2023-2024,29,eng ENG,Manchester City,eng Premier League,16,1064,11.8,12,4,11,1,0,1,1,0,0,0,DFMF,5eecec3d
639,Thomas Strakosha,2023-2024,28,al ALB,Brentford,eng Premier League,2,135,1.5,1,1,32,0,0,0,0,0,0,0,GK,339fe0e8
640,Zak Sturge,2023-2024,19,eng ENG,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,DF,1095aec1
641,Ronnie Stutter,2023-2024,18,eng ENG,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,FW,e3f9e68a
642,Mahamadou Susoho,2023-2024,18,es ESP,Manchester City,eng Premier League,0,,,0,0,6,,,,,,,,DF,6cdd9d3d
643,James Sweet,2023-2024,19,wls WAL,Arsenal,eng Premier League,0,,,0,0,1,,,,,,,,DF,d4632cfa
644,Dominik Szoboszlai,2023-2024,22,hu HUN,Liverpool,eng Premier League,33,2104,23.4,25,8,0,3,2,5,3,0,0,0,MF,934e1968
645,Devan Tanton,2023-2024,19,co COL,Fulham,eng Premier League,0,,,0,0,1,,,,,,,,DF,3c256bb1
646,Matt Targett,2023-2024,27,eng ENG,Newcastle Utd,eng Premier League,3,78,0.9,1,2,8,0,0,0,0,0,0,0,DF,e514ab62
647,James Tarkowski,2023-2024,30,eng ENG,Everton,eng Premier League,38,3419,38.0,38,0,0,1,1,2,1,0,0,0,DF,15ea812b
648,Jimi Tauriainen,2023-2024,19,eng ENG,Chelsea,eng Premier League,1,1,0.0,0,1,4,0,0,0,0,0,0,0,FW,cac9e583
649,Nuno Tavares,2023-2024,23,pt POR,Nott'ham Forest,eng Premier League,8,457,5.1,5,3,5,0,0,0,0,0,0,0,DF,a65c844b
650,Marcus Tavernier,2023-2024,24,eng ENG,Bournemouth,eng Premier League,30,2118,23.5,25,5,0,3,4,7,3,0,0,0,FW,5c0da4a4
651,Charlie Taylor,2023-2024,29,eng ENG,Burnley,eng Premier League,28,2331,25.9,25,3,2,1,1,2,1,0,0,0,DF,cc2d7ad5
652,Kenny Tete,2023-2024,27,nl NED,Fulham,eng Premier League,14,867,9.6,10,4,14,1,0,1,1,0,0,0,DF,77d7c96f
653,Luke Thomas,2023-2024,22,eng ENG,Sheffield Utd,eng Premier League,12,917,10.2,11,1,4,0,0,0,0,0,0,0,DF,fc027d02
654,Youri Tielemans,2023-2024,26,be BEL,Aston Villa,eng Premier League,32,1622,18.0,17,15,0,2,6,8,2,0,0,0,MFFW,56f7a928
655,Jurriën Timber,2023-2024,22,nl NED,Arsenal,eng Premier League,2,71,0.8,1,1,0,0,0,0,0,0,0,0,DF,41034650
656,Harry Toffolo,2023-2024,27,eng ENG,Nott'ham Forest,eng Premier League,23,1459,16.2,15,8,9,1,3,4,1,0,0,0,DF,a105d46a
657,Takehiro Tomiyasu,2023-2024,24,jp JPN,Arsenal,eng Premier League,22,1149,12.8,10,12,1,2,1,3,2,0,0,0,DF,b3af9be1
658,James Tomkins,2023-2024,34,eng ENG,Crystal Palace,eng Premier League,4,10,0.1,0,4,24,0,0,0,0,0,0,0,DF,e7ca0439
659,Sandro Tonali,2023-2024,23,it ITA,Newcastle Utd,eng Premier League,8,438,4.9,5,3,1,1,0,1,1,0,0,0,MF,0db169ae
660,Ivan Toney,2023-2024,27,eng ENG,Brentford,eng Premier League,17,1450,16.1,16,1,1,4,2,6,4,0,0,0,FW,e09f279b
661,Pau Torres,2023-2024,26,es ESP,Aston Villa,eng Premier League,29,2464,27.4,27,2,5,2,0,2,2,0,0,0,DF,532e1e4f
662,Andros Townsend,2023-2024,32,eng ENG,Luton Town,eng Premier League,27,1210,13.4,14,13,3,1,3,4,1,0,0,0,MFFW,b28bbd58
663,James Trafford,2023-2024,20,eng ENG,Burnley,eng Premier League,28,2520,28.0,28,0,8,0,0,0,0,0,0,0,GK,259fea27
664,Adama Traoré,2023-2024,27,es ESP,Fulham,eng Premier League,17,377,4.2,1,16,2,2,3,5,2,0,0,0,FWMF,9a28eba4
665,Bénie Traoré,2023-2024,20,ci CIV,Sheffield Utd,eng Premier League,8,387,4.3,3,5,11,0,0,0,0,0,0,0,FWMF,77816c91
666,Bertrand Traoré,2023-2024,27,bf BFA,Aston Villa,eng Premier League,2,11,0.1,0,2,6,0,0,0,0,0,0,0,DFFW,c47541e0
667,Boubacar Traoré,2023-2024,21,ml MLI,Wolves,eng Premier League,24,819,9.1,7,17,9,0,0,0,0,0,0,0,MF,999ceb5f
668,Mark Travers,2023-2024,24,ie IRL,Bournemouth,eng Premier League,4,360,4.0,4,0,25,0,0,0,0,0,0,0,GK,fe558029
669,Mike Trésor,2023-2024,24,be BEL,Burnley,eng Premier League,16,420,4.7,3,13,9,0,0,0,0,0,0,0,FWMF,b2a81fc6
670,Ryan Trevitt,2023-2024,20,eng ENG,Brentford,eng Premier League,0,,,0,0,2,,,,,,,,MF,732327ae
671,Kieran Trippier,2023-2024,32,eng ENG,Newcastle Utd,eng Premier League,28,2236,24.8,26,2,0,1,10,11,1,0,0,0,DF,21512407
672,Leandro Trossard,2023-2024,28,be BEL,Arsenal,eng Premier League,34,1649,18.3,18,16,3,12,1,13,12,0,0,0,FWMF,38ceb24a
673,Auston Trusty,2023-2024,24,us USA,Sheffield Utd,eng Premier League,32,2572,28.6,28,4,6,0,0,0,0,0,0,0,DF,cddf767b
674,Kostas Tsimikas,2023-2024,27,gr GRE,Liverpool,eng Premier League,13,679,7.5,8,5,17,0,3,3,0,0,0,0,DF,f315ca93
675,Matt Turner,2023-2024,29,us USA,Nott'ham Forest,eng Premier League,17,1530,17.0,17,0,20,0,0,0,0,0,0,0,GK,4a51ba65
676,Destiny Udogie,2023-2024,20,it ITA,Tottenham,eng Premier League,28,2391,26.6,28,0,0,2,3,5,2,0,0,0,DF,7cd520e8
677,Lesley Ugochukwu,2023-2024,19,fr FRA,Chelsea,eng Premier League,12,301,3.3,3,9,5,0,0,0,0,0,0,0,MF,1df4a109
678,Hwang Ui-jo,2023-2024,30,kr KOR,Nott'ham Forest,eng Premier League,0,,,0,0,2,,,,,,,,FWMF,a2d873dd
679,Franco Umeh-Chibueze,2023-2024,18,ie IRL,Crystal Palace,eng Premier League,0,,,0,0,5,,,,,,,,MF,8e526344
680,Enes Ünal,2023-2024,26,tr TUR,Bournemouth,eng Premier League,16,328,3.6,2,14,0,2,2,4,2,0,0,0,FWMF,f8eca1b6
681,Virgil van Dijk,2023-2024,32,nl NED,Liverpool,eng Premier League,36,3177,35.3,36,0,0,2,2,4,2,0,0,0,DF,e06683ca
682,Raphaël Varane,2023-2024,30,fr FRA,Manchester Utd,eng Premier League,22,1375,15.3,16,6,4,1,0,1,1,0,0,0,DF,9f8e9423
683,Alejo Véliz,2023-2024,19,ar ARG,Tottenham,eng Premier League,8,50,0.6,0,8,5,1,0,1,1,0,0,0,FW,3f7bafbe
684,Joël Veltman,2023-2024,31,nl NED,Brighton,eng Premier League,27,1588,17.6,17,10,2,1,1,2,1,0,0,0,DF,dad4b285
685,Micky van de Ven,2023-2024,22,nl NED,Tottenham,eng Premier League,27,2339,26.0,27,0,1,3,0,3,3,0,0,0,DF,8fe2a392
686,Bart Verbruggen,2023-2024,20,nl NED,Brighton,eng Premier League,21,1890,21.0,21,0,17,0,0,0,0,0,0,0,GK,cf134113
687,Guglielmo Vicario,2023-2024,26,it ITA,Tottenham,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,GK,77d6fd4d
688,Fabio Vieira,2023-2024,23,pt POR,Arsenal,eng Premier League,11,297,3.3,2,9,13,1,2,3,0,1,1,0,MFFW,6412cc03
689,Lawrence Vigouroux,2023-2024,29,cl CHI,Burnley,eng Premier League,0,,,0,0,5,,,,,,,,GK,a949d040
690,Carlos Vinícius,2023-2024,28,br BRA,Fulham,eng Premier League,13,315,3.5,2,11,7,2,0,2,2,0,0,0,FW,8b529245
691,João Virgínia,2023-2024,23,pt POR,Everton,eng Premier League,0,,,0,0,38,,,,,,,,GK,728e9b2e
692,Radek Vítek,2023-2024,19,,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,GK,d617bff6
693,Vitinho,2023-2024,24,br BRA,Burnley,eng Premier League,32,2314,25.7,26,6,2,0,2,2,0,0,0,0,DFMF,9295dc1c
694,Odisseas Vlachodimos,2023-2024,29,gr GRE,Nott'ham Forest,eng Premier League,5,450,5.0,5,0,14,0,0,0,0,0,0,0,GK,03df04ff
695,Kyle Walker,2023-2024,33,eng ENG,Manchester City,eng Premier League,32,2767,30.7,30,2,3,0,4,4,0,0,0,0,DF,86dd77d1
696,Reuell Walters,2023-2024,18,eng ENG,Arsenal,eng Premier League,0,,,0,0,8,,,,,,,,DF,501ac0cc
697,Aaron Wan-Bissaka,2023-2024,25,eng ENG,Manchester Utd,eng Premier League,22,1780,19.8,20,2,3,0,2,2,0,0,0,0,DF,9e525177
698,Joel Ward,2023-2024,33,eng ENG,Crystal Palace,eng Premier League,26,1980,22.0,23,3,5,0,1,1,0,0,0,0,DF,8a7ff278
699,James Ward-Prowse,2023-2024,28,eng ENG,West Ham,eng Premier League,37,3001,33.3,34,3,0,7,7,14,5,2,2,0,MF,3515d404
700,Lewis Warrington,2023-2024,20,eng ENG,Everton,eng Premier League,1,1,0.0,0,1,7,0,0,0,0,0,0,0,FW,8e633970
701,Deivid Washington,2023-2024,18,br BRA,Chelsea,eng Premier League,2,13,0.1,0,2,17,0,0,0,0,0,0,0,DFFW,95bd120d
702,Ollie Watkins,2023-2024,27,eng ENG,Aston Villa,eng Premier League,37,3217,35.7,37,0,0,19,13,32,19,0,0,0,FW,aed3a70f
703,Adam Webster,2023-2024,28,eng ENG,Brighton,eng Premier League,15,1144,12.7,13,2,12,0,0,0,0,0,0,0,DF,c40b6180
704,Danny Welbeck,2023-2024,32,eng ENG,Brighton,eng Premier League,29,1693,18.8,21,8,1,5,1,6,5,0,0,0,FWMF,ce5143da
705,Maxwell Wellings,2023-2024,18,eng ENG,Bournemouth,eng Premier League,0,,,0,0,7,,,,,,,,DF,ed46ab76
706,Timo Werner,2023-2024,27,de GER,Tottenham,eng Premier League,13,809,9.0,10,3,0,2,3,5,2,0,0,0,FW,49fe9070
707,Adam Wharton,2023-2024,19,eng ENG,Crystal Palace,eng Premier League,16,1297,14.4,15,1,0,0,3,3,0,0,0,0,MF,4b542852
708,Ethan Wheatley,2023-2024,17,eng ENG,Manchester Utd,eng Premier League,3,16,0.2,0,3,2,0,0,0,0,0,0,0,FW,5c368c88
709,Ben White,2023-2024,25,eng ENG,Arsenal,eng Premier League,37,2988,33.2,35,2,0,4,4,8,4,0,0,0,DF,35e413f1
710,Joe White,2023-2024,20,eng ENG,Newcastle Utd,eng Premier League,4,13,0.1,0,4,10,0,0,0,0,0,0,0,MF,d60c03a9
711,Alfie Whiteman,2023-2024,24,eng ENG,Tottenham,eng Premier League,0,,,0,0,1,,,,,,,,GK,3f2587ee
712,Matthew Whittingham,2023-2024,18,eng ENG,Wolves,eng Premier League,0,,,0,0,1,,,,,,,,MF,cd84f0e3
713,Joseph Whitworth,2023-2024,19,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,1,,,,,,,,GK,3f847d95
714,Neco Williams,2023-2024,22,wls WAL,Nott'ham Forest,eng Premier League,26,1637,18.2,18,8,5,0,1,1,0,0,0,0,DF,dd323728
715,Willian,2023-2024,34,br BRA,Fulham,eng Premier League,31,2053,22.8,24,7,2,4,2,6,2,2,2,0,FW,8b9ebd03
716,Joe Willock,2023-2024,23,eng ENG,Newcastle Utd,eng Premier League,9,419,4.7,5,4,0,1,0,1,1,0,0,0,MF,a3b03921
717,Callum Wilson,2023-2024,31,eng ENG,Newcastle Utd,eng Premier League,20,991,11.0,9,11,0,9,1,10,7,2,2,0,FW,c596fcb0
718,Harry Wilson,2023-2024,26,wls WAL,Fulham,eng Premier League,35,1620,18.0,16,19,1,4,6,10,4,0,0,0,FW,c6dc9ecd
719,Yoane Wissa,2023-2024,26,cd COD,Brentford,eng Premier League,34,2493,27.7,29,5,0,12,3,15,12,0,0,0,FW,2500cef9
720,Chris Wood,2023-2024,31,nz NZL,Nott'ham Forest,eng Premier League,31,1812,20.1,20,11,0,14,1,15,14,0,0,0,FW,4e9a0555
721,Cauley Woodrow,2023-2024,28,eng ENG,Luton Town,eng Premier League,24,427,4.7,2,22,8,1,1,2,1,0,0,0,FWMF,d3085b49
722,Joe Worrall,2023-2024,26,eng ENG,Nott'ham Forest,eng Premier League,7,439,4.9,5,2,7,0,0,0,0,0,0,0,DF,a5212312
723,Jacob Wright,2023-2024,17,eng ENG,Manchester City,eng Premier League,0,,,0,0,1,,,,,,,,MF,b6db05c3
724,James Wright,2023-2024,18,eng ENG,Aston Villa,eng Premier League,0,,,0,0,3,,,,,,,,GK,9417a430
725,Yehor Yarmoliuk,2023-2024,19,ua UKR,Brentford,eng Premier League,27,688,7.6,6,21,11,0,0,0,0,0,0,0,MF,907a5d7c
726,Ryan Yates,2023-2024,25,eng ENG,Nott'ham Forest,eng Premier League,35,1992,22.1,21,14,2,1,1,2,1,0,0,0,MF,c1fe2a48
727,Ashley Young,2023-2024,38,eng ENG,Everton,eng Premier League,31,2280,25.3,27,4,1,0,0,0,0,0,0,0,DFMF,be927d03
728,Kadan Young,2023-2024,17,eng ENG,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,MF,91c75917
729,Illia Zabarnyi,2023-2024,20,ua UKR,Bournemouth,eng Premier League,37,3330,37.0,37,0,0,1,0,1,1,0,0,0,DF,88968486
730,Nicolò Zaniolo,2023-2024,24,it ITA,Aston Villa,eng Premier League,25,839,9.3,9,16,5,2,0,2,2,0,0,0,FWMF,9907b1c8
731,Anass Zaroury,2023-2024,22,ma MAR,Burnley,eng Premier League,6,152,1.7,1,5,7,0,0,0,0,0,0,0,FWMF,07d65234
732,Oleksandr Zinchenko,2023-2024,26,ua UKR,Arsenal,eng Premier League,27,1722,19.1,20,7,5,1,2,3,1,0,0,0,DF,51cf8561
733,Kurt Zouma,2023-2024,28,fr FRA,West Ham,eng Premier League,33,2838,31.5,32,1,1,3,0,3,3,0,0,0,DF,ce4246f5
734,Oliwier Zych,2023-2024,19,pl POL,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,GK,be18d79f
