
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
146,Jack Cork,2023-2024,34,eng ENG,Burnley,eng Premier League,4,27,0.3,0,4,18,0,0,0,0,0,0,0,MF,74e12f1e
147,Maxwel Cornet,2023-2024,26,ci CIV,West Ham,eng Premier League,7,112,1.2,1,6,21,1,0,1,1,0,0,0,MFFW,beb391dd
148,Vladimír Coufal,2023-2024,30,cz CZE,West Ham,eng Premier League,36,3132,34.8,36,0,0,0,7,7,0,0,0,0,DF,fdf3cb77
149,Philippe Coutinho,2023-2024,31,br BRA,Aston Villa,eng Premier League,2,25,0.3,0,2,0,0,0,0,0,0,0,0,MFFW,0ef89a37
150,Conor Coventry,2023-2024,23,ie IRL,West Ham,eng Premier League,0,,,0,0,2,,,,,,,,MF,a5ca9127
151,William Crellin,2023-2024,23,eng ENG,Everton,eng Premier League,0,,,0,0,1,,,,,,,,GK,1a85a237
152,Aaron Cresswell,2023-2024,33,eng ENG,West Ham,eng Premier League,11,436,4.8,4,7,21,0,0,0,0,0,0,0,DFFW,4f974391
153,Marc Cucurella,2023-2024,25,es ESP,Chelsea,eng Premier League,21,1782,19.8,20,1,6,0,2,2,0,0,0,0,DF,1daec722
154,Josh Cullen,2023-2024,27,ie IRL,Burnley,eng Premier League,25,2057,22.9,23,2,8,2,3,5,2,0,0,0,MF,f6d7d690
155,Matheus Cunha,2023-2024,24,br BRA,Wolves,eng Premier League,32,2440,27.1,29,3,0,12,7,19,11,1,1,0,FWMF,dc62b55d
156,Ted Curd,2023-2024,17,eng ENG,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,GK,d9bd6f58
157,Sam Curtis,2023-2024,17,ie IRL,Sheffield Utd,eng Premier League,1,28,0.3,0,1,8,0,0,0,0,0,0,0,DF,7d42865e
158,Michael DaCosta,2023-2024,18,es ESP,Bournemouth,eng Premier League,0,,,0,0,4,,,,,,,,FW,c1426015
159,Mahmoud Dahoud,2023-2024,27,de GER,Brighton,eng Premier League,9,452,5.0,6,3,8,0,1,1,0,0,0,0,MF,db4ed67b
160,Ameen Al-Dakhil,2023-2024,21,be BEL,Burnley,eng Premier League,13,1056,11.7,12,1,2,1,0,1,1,0,0,0,DF,93e08bce
161,Diogo Dalot,2023-2024,24,pt POR,Manchester Utd,eng Premier League,36,3174,35.3,35,1,1,2,3,5,2,0,0,0,DF,d9565625
162,Mikkel Damsgaard,2023-2024,23,dk DEN,Brentford,eng Premier League,23,842,9.4,7,16,3,0,2,2,0,0,0,0,MF,215f3907
