Name,Market Value
Fabrizio Angileri,€1.00m
Jordi Martín,€600k
Gorka Rivera,€100k
Alejandro Herranz,€25k
José Ángel Carmona,€3.50m
Juan Iglesias,€2.50m
Damián Suárez,€650k
Nemanja Maksimovic,€6.00m
Mauro Arambarri,€5.00m
Luis Milla,€3.50m
Carles Aleñá,€3.00m
Ilaix Moriba,€3.00m
Yellu Santiago,€1.00m
John Patrick,€200k
Facu Esnáider,€100k
Óscar Rodríguez,€2.50m
Santi García,€200k
Diego López,€100k
Alberto Risco,-
Jeremy Jorge,€200k
Yassin Tallal,€50k
Mason Greenwood,€25.00m
Portu,€3.50m
Enes Ünal,€18.00m
Borja Mayoral,€15.00m
Juanmi Latasa,€2.80m
Choco Lozano,€1.20m
Jaime Mata,€900k
Stole Dimitrievski,€4.00m
Dani Cárdenas,€1.80m
Miguel Ángel Morro,€600k
Florian Lejeune,€3.00m
Abdul Mumin,€2.50m
Aridane Hernández,€800k
Jorge Moreno,€500k
Martín Pascual,€300k
Alfonso Espino,€2.40m
Pep Chavarría,€2.00m
Iván Balliu,€2.00m
Andrei Rațiu,€1.40m
Miguel Crespo,€4.00m
Óscar Valentín,€4.00m
Kike Pérez,€3.00m
Unai López,€3.00m
Pathé Ciss,€2.50m
Diego Méndez,-
Randy Nteka,€1.50m
José Pozo,€1.00m
Oscar Trejo,€1.00m
Pablo Muñoz,€50k
Álvaro García,€3.00m
Bebé,€600k
Isi Palazón,€8.00m
Jorge de Frutos,€4.00m
Salvi Sánchez,€1.20m
Sergio Camello,€3.00m
Raúl de Tomás,€2.00m
Radamel Falcao,€800k
Predrag Rajković,€10.00m
Dominik Greif,€2.50m
Iván Cuéllar,€100k
Pere García,€50k
Alex Quevedo,-
Martin Valjent,€6.00m
José Copete,€2.80m
Siebe Van der Heyden,€2.00m
Antonio Raíllo,€2.00m
Matija Nastasic,€1.50m
David López,€100k
Toni Lato,€3.50m
Jaume Costa,€900k
Marcos Fernández,€50k
Pablo Maffeo,€5.00m
Giovanni González,€3.00m
Nacho Vidal,€2.00m
Miguelito,€50k
Carles Sogorb,-
Yuzún Ley,-
Samú Costa,€10.00m
Omar Mascarell,€1.00m
Sergi Darder,€6.00m
Manu Morlanes,€2.50m
Antonio Sánchez,€2.50m
Rubén Quintanilla,€50k
Dani Rodríguez,€1.00m
Daniel Luna,€300k
Nemanja Radonjić,€2.80m
Javi Llabrés,€700k
Amath Ndiaye,€1.50m
Vedat Muriqi,€12.00m
Cyle Larin,€4.00m
Abdón Prats,€1.80m
Pau Mascaró,-
Álvaro Valles,€12.00m
Aarón Escandell,€1.00m
Ale Gorrin,-
Álvaro Killane,-
Mika Mármol,€15.00m
Saúl Coco,€8.00m
Alex Suárez,€1.20m
Juanma Herzog,€1.00m
Eric Curbelo,€800k
Sergi Cardona,€6.00m
Daley Sinkgraven,€1.00m
Gabriel Palmero,-
Julián Araujo,€8.00m
Marvin Park,€2.00m
Álvaro Lemos,€700k
Máximo Perrone,€9.00m
Nuke Mfulu,€700k
Enzo Loiodice,€4.00m
Javi Muñoz,€3.00m
José Campaña,€1.50m
Fabio González,€500k
Iñaki González,-
Aboubacar Bassinga,-
Alberto Moleiro,€15.00m
Kirian Rodríguez,€12.00m
Jonathan Viera,€1.00m
Yadam Santana,-
Pejiño,€1.20m
Benito Ramírez,€600k
Munir El Haddadi,€2.50m
Sandro Ramírez,€1.50m
Sory Kaba,€1.50m
Marc Cardona,€1.40m
Cristian Herrera,€300k
Pau Ferrer,-
Paulo Gazzaniga,€4.00m
Toni Fuidias,€300k
Juan Carlos,€200k
Eric García,€20.00m
Santiago Bueno,€8.00m
Daley Blind,€3.00m
David López,€2.50m
Juanpe,€1.00m
Bernardo Espinosa,€550k
Eric Monjonell,€200k
Antal Yaakobishvili,-
Miguel Gutiérrez,€25.00m
Yan Couto,€25.00m
Arnau Martínez,€10.00m
Ibrahima Kébé,€500k
Aleix García,€25.00m
Yangel Herrera,€25.00m
Jhon Solís,€3.00m
Enric García,-
Selvi Clua,-
Iván Martín,€15.00m
Pablo Torre,€3.00m
Borja García,€800k
Ricard Artero,-
Toni Villa,€1.50m
Alex Almansa,-
Juan Arango,-
Jastin García,-
Savinho,€50.00m
Viktor Tsygankov,€30.00m
Portu,€3.50m
Valery Fernández,€2.50m
Iker Almena,-
Manu Vallejo,€1.50m
Artem Dovbyk,€35.00m
Cristhian Stuani,€1.80m
Carles Garrido,€50k
Luís Maximiano,€5.00m
Fernando Martínez,€700k
Diego Mariño,€300k
Bruno Iribarne,-
Srdjan Babic,€4.00m
Edgar González,€3.00m
César Montes,€3.00m
Kaiky,€2.00m
Chumi,€2.00m
Aleksandar Radovanovic,€900k
Paco Sanz,-
Sergio Akieme,€7.00m
Bruno Langa,€1.50m
Álex Centelles,€1.20m
Marc Pubill,€4.00m
Álex Pozo,€2.00m
Houboulang Mendes,€700k
Miguel Peña,-
Carlos Ballestero,-
Dion Lopy,€10.00m
Lucas Robertone,€7.00m
Iddrisu Baba,€2.20m
Arnau Puigmal,€1.80m
Gonzalo Melero,€1.80m
Marcos Peña,€1.00m
Gui Guedes,€900k
Martin Svidersky,€300k
Sergio Arribas,€10.00m
Jonathan Viera,€1.00m
Largie Ramazani,€5.00m
Lázaro,€3.50m
Luka Romero,€5.00m
Adrián Embarba,€1.80m
Arvin Appiah,€400k
Luis Suárez,€3.50m
Ibrahima Koné,€2.50m
Léo Baptistão,€1.50m
Choco Lozano,€1.20m
Marko Milovanovic,€900k
Marciano Sanca,€800k
Rachad Fettal,-
Augusto Batalla,€5.00m
André Ferreira,€800k
Marc Martínez,€300k
Adri López,€200k
Raúl Fernández,€200k
Pol Tristán,€100k
Fran Árbol,-
Bruno Méndez,€5.00m
Raúl Torrente,€3.00m
Kamil Piatkowski,€2.50m
Miguel Rubio,€1.50m
Ignasi Miquel,€1.20m
Jesús Vallejo,€1.00m
Miki Bosch,€100k
Álvaro Carreras,€7.00m
Faitout Maouassa,€4.00m
Carlos Neva,€2.50m
Miguel Ángel Brau,€150k
Ricard Sánchez,€2.50m
Wilson Manafá,€1.30m
Víctor Díaz,€400k
Gerard Gumbau,€3.00m
Martin Hongla,€2.50m
Njegos Petrovic,€2.50m
Gonzalo Villar,€3.00m
Sergio Ruiz,€2.00m
Lass Sangaré,€150k
Óscar Melendo,€2.00m
Mario González,€150k
Bryan Zaragoza,€12.00m
Myrto Uzuni,€8.00m
Kamil Jóźwiak,€2.00m
Alberto Perea,€450k
Sergio Rodelas,€200k
Facundo Pellistri,€8.00m
