Name,Market Value
Alfie Dorrington,€500k
Destiny Udogie,€45.00m
Sergio Reguilón,€12.00m
Ryan Sessegnon,€10.00m
Pedro Porro,€45.00m
Emerson Royal,€18.00m
Yves Bissouma,€35.00m
Rodrigo Bentancur,€35.00m
Pierre-Emile Højbjerg,€18.00m
Oliver Skipp,€15.00m
Pape Matar Sarr,€45.00m
Giovani Lo Celso,€16.00m
Tyrese Hall,-
James Maddison,€70.00m
Dejan Kulusevski,€55.00m
Heung-min Son,€45.00m
Timo Werner,€17.00m
Bryan Gil,€14.00m
Manor Solomon,€13.00m
Ivan Perisic,€2.00m
Yago Santiago,€200k
Mikey Moore,-
Brennan Johnson,€48.00m
Jamie Donley,€1.50m
Richarlison,€38.00m
Alejo Veliz,€9.00m
Dane Scarlett,€1.80m
Alphonse Areola,€10.00m
Lukasz Fabianski,€700k
Joseph Anang,€300k
Jacob Knightbridge,-
Nayef Aguerd,€35.00m
Kurt Zouma,€25.00m
Konstantinos Mavropanos,€20.00m
Thilo Kehrer,€10.00m
Kaelan Casey,€1.00m
Angelo Ogbonna,€700k
Levi Laing,€150k
Emerson,€12.00m
Aaron Cresswell,€900k
Oliver Scarles,€400k
Ben Johnson,€8.00m
Vladimír Coufal,€8.00m
Edson Álvarez,€35.00m
Tomas Soucek,€30.00m
Kalvin Phillips,€25.00m
Flynn Downes,€9.00m
Conor Coventry,€1.50m
James Ward-Prowse,€30.00m
Lewis Orford,€400k
Dan Chesters,€200k
Lucas Paquetá,€65.00m
Pablo Fornals,€14.00m
George Earthy,€1.00m
Kamarai Swyer,€250k
Saïd Benrahma,€20.00m
Maxwel Cornet,€9.00m
Mohammed Kudus,€50.00m
Jarrod Bowen,€50.00m
Danny Ings,€8.00m
Michail Antonio,€4.00m
Callum Marshall,€2.00m
Divin Mubama,€1.00m
José Sá,€14.00m
Daniel Bentley,€2.00m
Tom King,€200k
Louie Moulden,€175k
Maximilian Kilman,€32.00m
Toti,€20.00m
Santiago Bueno,€8.00m
Yerson Mosquera,€6.00m
Craig Dawson,€2.00m
Justin Hubner,€350k
Alfie Pond,€250k
Rayan Aït-Nouri,€35.00m
Hugo Bueno,€6.00m
Aaron Keto-Diyawa,€200k
Nélson Semedo,€12.00m
Jonny Otto,€5.00m
Ki-Jana Hoever,€4.50m
Matt Doherty,€3.00m
Wesley Okoduwa,-
Mario Lemina,€10.00m
Boubacar Traoré,€6.00m
Joe Hodge,€1.50m
Bruno Jordão,€700k
Harvey Griffiths,€150k
Temple Ojinnaka,-
Matheus Nunes,€50.00m
João Gomes,€35.00m
Jean-Ricner Bellegarde,€15.00m
Tommy Doyle,€10.00m
Luke Cundle,€5.00m
Matthew Whittingham,€150k
Chem Campbell,€900k
Tawanda Chirewa,€500k
Noha Lemina,€500k
