"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Florent Mollet",1800000,31,2,482,2083,4,4,"FWMF"
"Moses Simon",1.2e+07,28,38,482,1788,3,5,"FWMF"
"Stredair Appuah",5e+05,19,2,482,84,0,0,"FWMF"
"Adson",4500000,22,4,482,238,0,0,"FWMF"
"Marcus Coco",1500000,27,2,482,1481,1,0,"FWDF"
"Abdoul Kader Bamba",9e+05,29,2,482,611,2,1,"FWMF"
"Mostafa Mohamed",1e+07,25,36,482,2002,8,2,"FW"
"Bénie Traoré",4e+06,20,37,482,504,0,1,"FWMF"
"Ignatius Ganago",3e+06,24,49,482,184,0,0,"FWMF"
"Adel Mahamoud",1e+05,20,119,482,10,0,0,"FW"
"Arouna Sangante",1e+07,21,18,414,2687,0,0,"DF"
"Gautier Lloris",3e+06,28,2,414,2778,2,0,"DF"
"Christopher Operi",4e+06,26,37,414,2445,3,4,"DF"
"Loïc Nego",9e+05,32,27,414,1561,0,3,"MFDF"
"Oualid El Hajjam",8e+05,32,12,414,393,0,0,"MFDF"
"Abdoulaye Touré",3e+06,29,77,414,2284,2,0,"MF"
"Nolan Mbemba",350000,28,113,414,22,1,0,"MF"
"Daler Kuzyaev",8e+06,30,33,414,2090,2,2,"MF"
"Yassine Kechta",5e+06,21,12,414,1849,2,1,"MF"
"Oussama Targhalline",2500000,21,12,414,1025,0,0,"MF"
"Rassoul Ndiaye",2500000,21,18,414,526,0,0,"FWMF"
"Simon Ebonog",1e+05,18,49,414,20,0,0,"MF"
"Nabil Alioui",3200000,24,2,414,1009,4,1,"FWMF"
"Antoine Joujou",1500000,20,2,414,779,0,2,"FWMF"
"André Ayew",1e+06,33,64,414,1104,5,0,"FW"
"Issa Soumaré",8e+05,22,18,414,237,0,0,"FWMF"
"Josué Casimir",3e+06,21,2,414,2016,0,5,"FWDF"
"Emmanuel Sabbi",2500000,25,11,414,1584,5,1,"FWMF"
"Samuel Grandsir",1500000,26,2,414,606,1,1,"FWMF"
"Andy Logbo",8e+05,19,2,414,248,0,0,"FW"
"Steve Ngoura",4e+05,18,2,414,223,0,1,"FWMF"
"Andy Pelmard",3500000,23,2,479,2989,0,0,"DF"
"Mateusz Wieteska",3e+06,26,26,479,174,1,0,"DF"
"Maximiliano Caufriez",2500000,26,3,479,1659,0,1,"DF"
"Florent Ogier",3e+05,34,2,479,943,1,1,"DF"
"Neto Borges",3e+06,26,4,479,2516,0,1,"DF"
"Yoël Armougom",3e+05,25,2,479,234,0,0,"MFDF"
"Mehdi Zeffane",5e+05,31,44,479,1231,0,0,"MFDF"
"Yohann Magnin",2e+06,26,2,479,1687,1,0,"MF"
"Maxime Gonalons",7e+05,34,2,479,1296,1,0,"MF"
"Johan Gastien",5e+05,35,2,479,2260,0,0,"MF"
"Muhammed Cham",6e+06,22,25,479,2554,8,4,"FWMF"
"Aïman Maurer",5e+05,18,12,479,56,0,0,"FWMF"
"Abdellah Baallal",50000,18,12,479,4,0,0,"MF"
"Jérémie Bela",6e+05,30,92,479,203,0,0,"FWMF"
"Jim Allevinah",2e+06,28,83,479,1861,2,1,"MFDF"
"Bilal Boutobba",1800000,24,2,479,926,1,1,"FWMF"
"Shamar Nicholson",5e+06,26,53,479,1484,4,3,"FW"
"Grejohn Kyei",1500000,27,2,479,1026,2,1,"FW"
"Fali Candé",2500000,25,115,568,1849,0,1,"DF"
"Sadibou Sané",8e+05,19,18,568,846,0,0,"DF"
"Ismaël Traoré",250000,36,37,568,2220,2,0,"DF"
"Matthieu Udol",2500000,27,2,568,2700,3,3,"DF"
"Koffi Kouao",1500000,25,37,568,860,0,2,"DF"
"Maxime Colin",9e+05,31,2,568,1832,0,0,"DF"
"Habib Maïga",2500000,27,37,568,147,0,0,"FWMF"
"Kévin N'Doram",1500000,27,2,568,1604,0,2,"MF"
"Arthur Atta",1e+06,20,2,568,924,1,2,"FWMF"
"Lamine Camara",1e+07,19,18,568,2255,1,4,"MF"
"Joseph Nduquidi",8e+05,18,2,568,751,0,0,"MFDF"
"Youssef Maziz",1500000,25,2,568,124,1,0,"FWMF"
"Papa Amadou Diallo",1e+06,19,18,568,889,2,1,"FW"
"Didier Lamkel Zé",1e+06,26,49,568,550,1,0,"FWMF"
"Joel Asoro",1500000,24,28,568,848,2,1,"FWMF"
"Malick Mbaye",5e+05,19,18,568,153,0,0,"FWMF"
"Georges Mikautadze",1.5e+07,22,74,568,1747,13,4,"FW"
"Simon Elisor",1e+06,24,2,568,767,1,0,"FW"
"Benjamin Tetteh",1e+06,26,64,568,278,0,0,"FWMF"
"Ibou Sané",3e+05,18,18,568,128,1,0,"FWMF"
