"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Tom Krauß",4e+06,22,16,74,1346,1,2,"MF"
"Merveille Papela",1e+06,22,16,74,257,0,0,"MFDF"
"Anthony Caci",7e+06,26,2,74,2486,2,3,"DF"
"Marco Richter",2e+06,25,16,74,717,1,0,"FWMF"
"Aymen Barkok",1e+06,25,12,74,321,1,0,"FWMF"
"Brajan Gruda",2e+07,19,16,74,1641,4,3,"FWMF"
"Anwar El Ghazi",2500000,28,7,74,54,0,1,"MFDF"
"David Mamutovic",250000,22,16,74,11,0,0,"FWDF"
"Jonathan Burkardt",1.2e+07,23,16,74,1538,8,2,"FWMF"
"Nelson Weiper",5e+06,18,16,74,124,0,0,"FWMF"
"Ludovic Ajorque",3e+06,29,2,74,1360,2,0,"FW"
"Karim Onisiwo",1500000,31,25,74,1493,1,3,"FWMF"
"Marcus Müller",2e+05,20,16,74,18,0,0,"MF"
"Ko Itakura",1.2e+07,26,17,155,1596,3,0,"MFDF"
"Nico Elvedi",1e+07,26,19,155,2482,2,1,"DF"
"Maximilian Wöber",1e+07,25,25,155,2066,2,3,"DF"
"Marvin Friedrich",3500000,27,16,155,1566,0,0,"DF"
"Fabio Chiarodia",2e+06,18,10,155,152,0,0,"DF"
"Luca Netz",1e+07,20,16,155,2225,0,4,"DF"
"Lukas Ullrich",750000,19,16,155,47,0,0,"FWDF"
"Joe Scally",1e+07,20,11,155,2236,1,4,"DF"
"Stefan Lainer",2500000,30,25,155,751,0,1,"MFDF"
"Tony Jantschke",4e+05,33,16,155,27,0,0,"MFDF"
"Julian Weigl",6e+06,27,16,155,2764,2,3,"MF"
"Christoph Kramer",1700000,32,16,155,249,0,0,"MF"
"Manu Koné",2e+07,22,2,155,1561,1,0,"MF"
"Rocco Reitz",1e+07,21,16,155,2136,6,3,"MF"
"Florian Neuhaus",7e+06,26,16,155,1224,4,2,"MF"
"Robin Hack",8e+06,24,16,155,1348,10,2,"FWMF"
"Yvandro Borges Sanches",1e+06,19,85,155,18,0,0,"FWMF"
"Franck Honorat",1.2e+07,26,2,155,2345,3,9,"FWDF"
"Patrick Herrmann",1e+06,32,16,155,86,0,0,"FWDF"
"Alassane Pléa",7e+06,30,2,155,1913,7,4,"FWMF"
"Danilho Doekhi",1.7e+07,25,7,184,2160,2,0,"DF"
"Diogo Leite",1.5e+07,24,6,184,2702,0,0,"DF"
"Robin Knoche",2500000,31,16,184,1917,1,0,"DF"
"Paul Jaeckel",2e+06,25,16,184,234,0,0,"DF"
"Leonardo Bonucci",1e+06,36,10,184,460,1,0,"DF"
"Robin Gosens",1.2e+07,29,16,184,2283,6,3,"MFDF"
"Jérôme Roussillon",2500000,30,2,184,752,0,1,"DF"
"Christopher Trimmel",6e+05,36,25,184,1646,0,2,"DF"
"Lucas Tousart",7e+06,26,2,184,1572,0,0,"MF"
"Rani Khedira",5e+06,29,16,184,1343,0,0,"MF"
