"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Borja Mayoral",1.5e+07,26,8,192,2153,15,1,"FW"
"Juanmi Latasa",2800000,22,8,192,1555,2,0,"FW"
"Jaime Mata",9e+05,34,8,192,1787,5,1,"FWMF"
"Florian Lejeune",3e+06,32,2,200,3327,3,1,"DF"
"Abdul Mumin",2500000,25,64,200,1694,1,0,"DF"
"Aridane Hernández",8e+05,34,8,200,1690,0,0,"DF"
"Alfonso Espino",2400000,31,14,200,2507,0,1,"DF"
"Pep Chavarría",2e+06,25,8,200,1167,1,1,"MFDF"
"Iván Balliu",2e+06,31,66,200,2873,0,1,"DF"
"Óscar Valentín",4e+06,28,8,200,2692,1,0,"MF"
"Kike Pérez",3e+06,26,8,200,835,1,0,"FWMF"
"Unai López",3e+06,27,8,200,2108,1,2,"MF"
"Pathé Ciss",2500000,29,18,200,1664,1,0,"MF"
"Randy Nteka",1500000,25,92,200,572,1,1,"FWMF"
"José Pozo",1e+06,27,8,200,19,0,0,"MF"
"Jorge de Frutos",4e+06,26,8,200,1549,2,0,"FWMF"
"Sergio Camello",3e+06,22,8,200,1661,3,1,"FW"
"Raúl de Tomás",2e+06,28,8,200,1272,1,2,"FW"
"Radamel Falcao",8e+05,37,12,200,407,1,0,"FWDF"
"Martin Valjent",6e+06,27,45,130,2349,0,1,"DF"
"Toni Lato",3500000,25,8,130,1544,0,1,"DF"
"Jaume Costa",9e+05,35,8,130,1682,0,1,"DF"
"Pablo Maffeo",5e+06,26,8,130,1454,1,2,"DF"
"Giovanni González",3e+06,28,14,130,2464,1,1,"DF"
"Sergi Darder",6e+06,29,8,130,2157,2,5,"MF"
"Manu Morlanes",2500000,24,8,130,1615,0,2,"MF"
"Antonio Sánchez",2500000,26,8,130,1452,3,1,"MF"
"Dani Rodríguez",1e+06,35,8,130,2615,2,4,"MF"
"Nemanja Radonjić",2800000,27,32,130,353,0,0,"MFDF"
"Cyle Larin",4e+06,28,48,130,1823,3,2,"FW"
"Abdón Prats",1800000,30,8,130,1270,6,1,"FWMF"
"Eric Curbelo",8e+05,29,8,312,102,0,0,"MFDF"
"Sergi Cardona",6e+06,24,8,312,2814,1,2,"DF"
"Daley Sinkgraven",1e+06,28,7,312,374,0,0,"DF"
"Álvaro Lemos",7e+05,30,8,312,251,0,0,"DF"
"Máximo Perrone",9e+06,20,1,312,1623,0,0,"MF"
"Enzo Loiodice",4e+06,22,2,312,1790,0,1,"MF"
"José Campaña",1500000,30,8,312,171,0,0,"MF"
"Fabio González",5e+05,26,8,312,123,0,0,"MF"
"Alberto Moleiro",1.5e+07,19,8,312,1803,3,3,"FWMF"
"Kirian Rodríguez",1.2e+07,27,8,312,3211,6,2,"MF"
"Pejiño",1200000,27,8,312,504,2,0,"FW"
"Benito Ramírez",6e+05,28,8,312,384,1,1,"FWMF"
"Munir El Haddadi",2500000,27,12,312,2449,3,2,"FW"
"Sandro Ramírez",1500000,28,8,312,1808,1,3,"FW"
"Sory Kaba",1500000,28,77,312,720,1,1,"FW"
"Marc Cardona",1400000,28,8,312,737,4,1,"FW"
