"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Rodri",1.2e+08,27,8,1,2931,8,9,"MF"
"Bernardo Silva",7e+07,28,6,1,2578,6,9,"FWMF"
"Kevin De Bruyne",5e+07,32,3,1,1221,4,10,"MF"
"Jack Grealish",6e+07,27,5,1,1009,3,1,"FWMF"
"Phil Foden",1.5e+08,23,5,1,2857,19,8,"FWMF"
"Oscar Bobb",2.5e+07,20,46,1,302,1,1,"FWMF"
"Sergio Gómez",1e+07,22,8,1,53,0,1,"FWMF"
"Erling Haaland",1.8e+08,23,46,1,2552,27,5,"FW"
"Lisandro Martínez",4.5e+07,25,1,36,646,0,1,"DF"
"Raphaël Varane",2e+07,30,2,36,1375,1,0,"DF"
"Harry Maguire",1.8e+07,30,5,36,1653,2,2,"DF"
"Victor Lindelöf",1.5e+07,29,28,36,1328,1,1,"DF"
"Willy Kambwala",5e+06,18,2,36,330,0,0,"DF"
"Jonny Evans",2e+06,35,73,36,1392,0,1,"DF"
"Luke Shaw",3.2e+07,28,5,36,959,0,0,"DF"
"Diogo Dalot",3.5e+07,24,6,36,3174,2,3,"DF"
"Aaron Wan-Bissaka",2e+07,25,5,36,1780,0,2,"DF"
"Sofyan Amrabat",2.2e+07,26,12,36,938,0,0,"MFDF"
"Casemiro",2e+07,31,4,36,1982,1,2,"MFDF"
"Kobbie Mainoo",5e+07,18,5,36,1924,3,1,"MF"
"Scott McTominay",3.2e+07,26,39,36,1901,7,1,"FWMF"
"Christian Eriksen",8e+06,31,21,36,1141,1,2,"MF"
"Donny van de Beek",5e+06,26,7,36,3,0,0,"DF"
"Daniel Gore",9e+05,18,5,36,1,0,0,"MF"
"Bruno Fernandes",7e+07,28,6,36,3118,10,8,"FWMF"
"Mason Mount",3.5e+07,24,5,36,516,1,0,"FWMF"
"Marcus Rashford",6e+07,25,5,36,2271,7,2,"FW"
"Alejandro Garnacho",4.5e+07,19,1,36,2565,7,4,"FW"
"Jadon Sancho",3e+07,23,5,36,79,0,0,"FWMF"
"Antony",2.5e+07,23,4,36,1324,1,1,"FW"
"Amad Diallo",1.8e+07,21,37,36,390,1,1,"FWMF"
"Facundo Pellistri",8e+06,21,14,36,172,0,1,"FWMF"
"Omari Forson",2e+06,19,5,36,70,0,1,"FW"
"Rasmus Højlund",6.5e+07,20,21,36,2158,10,2,"FW"
"Anthony Martial",1e+07,27,2,36,448,1,0,"FW"
"Sven Botman",4.5e+07,23,7,25,1377,2,2,"DF"
"Fabian Schär",1e+07,31,19,25,3054,4,1,"DF"
"Dan Burn",8e+06,31,5,25,2726,2,2,"DF"
"Jamaal Lascelles",7e+06,29,5,25,1080,1,0,"DF"
"Lewis Hall",1.8e+07,18,5,25,781,1,0,"DF"
"Matt Targett",1e+07,27,5,25,78,0,0,"DF"
"Paul Dummett",9e+05,31,29,25,20,0,0,"DF"
"Alex Murphy",250000,19,60,25,13,0,0,"FWDF"
"Kieran Trippier",1e+07,32,5,25,2236,1,10,"DF"
"Emil Krafth",2500000,28,28,25,913,0,0,"DF"
"Bruno Guimarães",8.5e+07,25,4,25,3263,7,8,"MF"
"Joelinton",4e+07,26,4,25,1279,2,1,"FWMF"
"Sandro Tonali",3.8e+07,23,10,25,438,1,0,"MF"
"Joe Willock",3e+07,23,5,25,419,1,0,"MF"
"Sean Longstaff",2.5e+07,25,5,25,2747,6,2,"MF"
"Lewis Miley",2.2e+07,17,5,25,1202,1,3,"MF"
"Elliot Anderson",1.5e+07,20,5,25,1027,0,2,"FWMF"
"Matt Ritchie",1e+06,33,39,25,128,1,0,"FWMF"
"Joe White",3e+05,20,5,25,13,0,0,"MF"
"Anthony Gordon",6e+07,22,5,25,2890,11,10,"FW"
"Harvey Barnes",3.5e+07,25,5,25,802,5,3,"FWMF"
"Amadou Diallo",4e+05,20,5,25,1,0,0,"MF"
"Miguel Almirón",2e+07,29,58,25,1937,3,1,"FW"
"Jacob Murphy",1.5e+07,28,5,25,1189,3,7,"FWDF"
"Ben Parkinson",250000,18,5,25,25,0,0,"FW"
"Alexander Isak",7.5e+07,23,28,25,2255,21,2,"FW"
"Callum Wilson",1.3e+07,31,5,25,991,9,1,"FW"
"Murillo",3.5e+07,21,4,141,2789,0,2,"DF"
"Andrew Omobamidele",1.1e+07,21,60,141,783,0,0,"DF"
"Scott McKenna",9e+06,26,39,141,416,0,0,"DF"
"Joe Worrall",7500000,26,5,141,439,0,0,"DF"
"Willy Boly",2500000,32,37,141,1438,2,1,"DF"
"Felipe",1500000,34,4,141,375,0,0,"DF"
