"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Radu Drăgușin",2.5e+07,21,47,90,1710,2,1,"DF"
"Koni De Winter",1.2e+07,21,3,90,2380,0,1,"DF"
"Johan Vásquez",1e+07,24,15,90,2850,1,1,"DF"
"Alan Matturro",4e+06,18,14,90,106,0,0,"DF"
"Mattia Bani",2500000,29,10,90,2306,2,0,"DF"
"Alessandro Vogliacco",2e+06,24,10,90,1169,0,1,"DF"
"Davide Biraschi",9e+05,29,10,90,90,1,0,"DF"
"Aarón Martín",5e+06,26,8,90,1376,0,1,"DF"
"Ridgeciano Haps",9e+05,30,141,90,773,0,1,"DF"
"Djed Spence",8e+06,22,5,90,859,0,0,"DF"
"Silvan Hefti",2500000,25,19,90,114,0,0,"MFDF"
"Stefano Sabelli",1500000,30,10,90,2429,0,1,"DF"
"Milan Badelj",8e+05,34,9,90,2535,1,3,"MF"
"Morten Frendrup",1.5e+07,22,21,90,3145,2,5,"MF"
"Berkan Kutlu",3800000,25,42,90,199,0,0,"MF"
"Morten Thorsby",3e+06,27,46,90,1157,2,2,"MF"
"Kevin Strootman",8e+05,33,7,90,1207,0,2,"MF"
"Ruslan Malinovskyi",8e+06,30,24,90,1544,4,1,"MF"
"Christos Papadopoulos",8e+05,18,51,90,4,0,0,"FW"
"Junior Messias",2500000,32,4,90,1053,1,0,"MFDF"
"Seydou Fini",1e+06,17,10,90,35,0,0,"FWDF"
"Mateo Retegui",1.6e+07,24,10,90,2216,7,2,"FW"
"Vitinha",1.4e+07,23,6,90,285,2,0,"FWMF"
"Caleb Ekuban",1500000,29,64,90,1131,4,1,"FW"
"George Pușcaș",1500000,27,47,90,191,0,0,"FW"
"Andrea Carboni",4e+06,22,10,149,1487,1,0,"DF"
"Pablo Marí",3500000,29,8,149,2615,0,0,"DF"
"Armando Izzo",2500000,31,10,149,1650,0,0,"DF"
"Luca Caldirola",1300000,32,10,149,2141,1,1,"DF"
"Davide Bettella",1e+06,23,10,149,3,0,0,"MF"
"Danilo D'Ambrosio",1e+06,34,10,149,1536,0,0,"DF"
"Samuele Birindelli",3500000,24,10,149,2013,0,2,"DF"
"Pedro Pereira",1500000,25,6,149,841,0,2,"DF"
"Giulio Donati",3e+05,33,10,149,36,0,0,"DF"
"Matteo Pessina",1.5e+07,26,10,149,3222,6,3,"MF"
"Warren Bondo",6e+06,19,2,149,1475,1,1,"MF"
"Roberto Gagliardini",3e+06,29,10,149,2360,1,2,"MFDF"
"Patrick Ciurria",4e+06,28,10,149,1598,0,1,"MFDF"
"Andrea Colpani",1.8e+07,24,10,149,2657,8,4,"FWMF"
"Samuele Vignato",3500000,19,10,149,343,1,0,"FWMF"
"Andrea Ferraris",2e+05,20,10,149,10,0,0,"MF"
"Dany Mota",5e+06,25,6,149,2049,4,3,"FWMF"
"Gianluca Caprari",4e+06,30,10,149,285,0,0,"FWMF"
"Diego Coppola",6e+06,19,10,188,1634,2,0,"DF"
"Bruno Amione",3e+06,21,1,188,579,0,0,"DF"
"Giangiacomo Magnani",3e+06,27,10,188,2444,0,0,"DF"
"Paweł Dawidowicz",3e+06,28,26,188,2143,0,0,"DF"
"Rúben Vinagre",2400000,24,6,188,282,0,0,"FWDF"
"Fabien Centonze",3e+06,27,2,188,676,0,1,"DF"
"Jackson Tchatchoua",3e+06,21,49,188,1725,0,2,"DF"
"Martin Hongla",2500000,25,49,188,1084,0,0,"MF"
"Reda Belahyane",5e+05,19,12,188,90,0,0,"MF"
"Charlys",1e+05,19,4,188,25,0,0,"MF"
"Michael Folorunsho",8500000,25,10,188,2781,5,1,"FWMF"
"Suat Serdar",5e+06,26,16,188,1659,0,2,"MF"
"Ondrej Duda",4e+06,28,45,188,2456,1,4,"MF"
"Darko Lazović",1500000,32,32,188,1928,3,2,"FWMF"
"Alphadjo Cissè",1400000,16,10,188,8,0,0,"FW"
"Riccardo Saponara",7e+05,31,10,188,342,0,0,"FWMF"
"Stefan Mitrović",1800000,20,32,188,391,0,0,"FWMF"
"Tijjani Noslin",1e+07,24,7,188,1339,5,4,"FWMF"
"Jordi Mboula",1200000,24,8,188,307,0,1,"FWMF"
"Elayis Tavsan",1e+06,22,7,188,50,0,0,"FWMF"
"Yayah Kallon",1e+06,22,122,188,4,0,0,"FW"
"Federico Bonazzoli",2500000,26,10,188,1016,3,1,"FWMF"
"Thomas Henry",2e+06,28,2,188,334,3,0,"FW"
"Marin Pongračić",7e+06,25,9,231,3219,0,0,"DF"
"Federico Baschirotto",6e+06,26,10,231,3294,0,1,"DF"
"Ahmed Touba",1600000,25,44,231,277,0,0,"DF"
"Antonino Gallo",4500000,23,10,231,2490,0,3,"DF"
"Valentin Gendrey",7e+06,23,2,231,3044,2,3,"DF"
"Lorenzo Venuti",1200000,28,10,231,364,0,0,"DF"
"Ylber Ramadani",4e+06,27,66,231,2970,1,0,"MF"
"Alexis Blin",3e+06,26,2,231,1642,0,2,"MF"
"Mohamed Kaba",3500000,21,2,231,1378,0,0,"MF"
