"Name","Market.Value","Age","Nation","Team","MP","Min","X90s","Starts","Subs","unSub","Gls","Ast","G.A","G.PK","PK","PKatt","PKm","Pos","X.9999"
"Amad Diallo","€18.00m","21","Côte d'Ivoire","Manchester Utd","9","390","4.3","3","6","8","1","1","2","1","0","0","0","FWMF","9dc96f10"
"Facundo Pellistri","€8.00m","21","Uruguay","Manchester Utd","9","172","1.9","1","8","11","0","1","1","0","0","0","0","FWMF","ac7e7b1c"
"Omari Forson","€2.00m","19","England","Manchester Utd","4","70","0.8","1","3","9","0","1","1","0","0","0","0","FW","1b9728b0"
"Rasmus Højlund","€65.00m","20","Denmark","Manchester Utd","30","2158","24.0","25","5","0","10","2","12","10","0","0","0","FW","491a433d"
"Anthony Martial","€10.00m","27","France","Manchester Utd","13","448","5.0","5","8","3","1","0","1","1","0","0","0","FW","8b788c01"
"Sven Botman","€45.00m","23","Netherlands","Newcastle Utd","17","1377","15.3","15","2","0","2","2","4","2","0","0","0","DF","ccce7025"
"Fabian Schär","€10.00m","31","Switzerland","Newcastle Utd","36","3054","33.9","35","1","0","4","1","5","4","0","0","0","DF","c8aa95da"
"Dan Burn","€8.00m","31","England","Newcastle Utd","33","2726","30.3","32","1","0","2","2","4","2","0","0","0","DF","b2d31e83"
"Jamaal Lascelles","€7.00m","29","England","Newcastle Utd","16","1080","12.0","13","3","10","1","0","1","1","0","0","0","DF","450ab6fc"
"Lewis Hall","€18.00m","18","England","Newcastle Utd","18","781","8.7","8","10","15","1","0","1","1","0","0","0","DF","da011f18"
"Matt Targett","€10.00m","27","England","Newcastle Utd","3","78","0.9","1","2","8","0","0","0","0","0","0","0","DF","e514ab62"
"Paul Dummett","€900k","31","Wales","Newcastle Utd","5","20","0.2","0","5","24","0","0","0","0","0","0","0","DF","3fe6bd8c"
"Alex Murphy","€250k","19","Republic of Ireland","Newcastle Utd","2","13","0.1","0","2","17","0","0","0","0","0","0","0","DFFW","f1c42eb3"
"Kieran Trippier","€10.00m","32","England","Newcastle Utd","28","2236","24.8","26","2","0","1","10","11","1","0","0","0","DF","21512407"
"Emil Krafth","€2.50m","28","Sweden","Newcastle Utd","17","913","10.1","8","9","11","0","0","0","0","0","0","0","DF","77cf6852"
"Bruno Guimarães","€85.00m","25","Brazil","Newcastle Utd","37","3263","36.3","37","0","0","7","8","15","7","0","0","0","MF","82518f62"
"Joelinton","€40.00m","26","Brazil","Newcastle Utd","20","1279","14.2","15","5","0","2","1","3","2","0","0","0","MFFW","c17bfb65"
